Date,AAPL,AMZN,GOOG,IBM,INTC,META,ORCL,NVDA,MSFT,TSLA
8/17/2022,79542000,0,0,3667600,0,0,5185100,0,18253400,68766000
8/18/2022,62290100,37458700,15652000,3177700,24598200,18844500,4120500,41544700,0,0
8/19/2022,0,0,0,0,0,0,0,0,0,0
8/22/2022,0,0,0,0,0,0,0,0,0,0
8/23/2022,54147100,36252100,14390700,0,0,0,4432300,36998600,0,63984900
8/24/2022,53841500,38627000,16051200,0,0,20891500,0,52266100,18137000,0
8/25/2022,51218200,37496300,14874700,2706000,29799100,15550500,3523400,77069100,16583400,0
8/26/2022,0,0,0,0,0,0,0,0,0,0
8/29/2022,73314000,0,0,2783000,0,0,4295500,0,0,41864700
8/30/2022,0,0,0,0,0,0,0,0,0,0
8/31/2022,0,0,0,0,0,0,0,0,0,0
9/1/2022,74229900,56636100,22784400,3396200,36440700,30145700,8139800,0,23263400,54287000
9/2/2022,0,0,0,0,0,0,0,0,0,0
9/6/2022,0,0,0,0,0,0,0,0,0,55860000
9/7/2022,87449600,47900300,22987200,2401500,37329500,16831200,5792600,51265700,24126700,50028900
9/8/2022,0,43988500,21660700,2964600,37359500,22530800,6897100,62487300,20319900,53713100
9/9/2022,68028800,49387600,21732900,3291900,34069500,22086800,7762400,48661200,22084700,54338100
9/12/2022,104956000,53826900,0,3741100,0,23220400,15628900,48415900,18747700,48674600
9/13/2022,0,0,0,0,0,0,0,0,0,0
9/14/2022,87965400,45316800,22115800,3819100,0,0,0,0,0,72628700
9/15/2022,0,0,0,0,0,0,0,0,0,64795500
9/16/2022,0,115667800,64540100,9839700,72748000,0,0,67075100,39791800,87087800
9/19/2022,81474200,47279700,19738600,3981600,33151900,22169500,8364000,56968500,26826900,60231200
9/20/2022,107689800,0,0,0,0,23217400,0,0,26660300,61642800
9/21/2022,0,0,0,0,0,0,0,80767900,0,0
9/22/2022,86652500,55229200,21272700,4046600,0,34418500,0,0,31061200,0
9/23/2022,0,0,0,0,0,0,0,66330900,0,0
9/26/2022,93339400,62723300,22437900,0,0,0,0,0,27694200,58076900
9/27/2022,0,0,0,0,0,0,0,0,0,0
9/28/2022,146691400,55763800,24617000,4996400,40433400,32658500,8549900,54241400,29029700,54664800
9/29/2022,0,0,0,0,0,0,0,0,0,0
9/30/2022,0,0,0,0,0,0,0,56563800,0,0
10/3/2022,114311700,50941900,24840000,4261700,44096200,27723100,9661400,54747800,28880400,0
10/4/2022,87830100,62812600,22580900,4566100,42427500,0,9892600,58418200,34888400,0
10/5/2022,79471000,48217500,18475500,3212900,30120000,27979300,9201600,50713100,20347100,0
10/6/2022,0,0,17156200,0,0,36231100,0,0,0,0
10/7/2022,0,0,0,0,0,0,0,0,0,0
10/10/2022,0,0,0,0,0,24024000,0,0,0,0
10/11/2022,0,0,0,4043100,48134900,0,7376900,66748200,0,0
10/12/2022,0,45728700,17343400,0,39634100,0,9008600,0,21903900,66860700
10/13/2022,113224000,86868100,32812200,5837500,62447000,34325700,10147100,85010300,42551800,91483000
10/14/2022,0,0,0,0,0,0,0,0,0,0
10/17/2022,85250900,62782000,23311600,0,39416500,29612200,11368300,58077400,28142300,79428800
10/18/2022,0,0,0,0,0,0,0,0,0,0
10/19/2022,61758300,47198100,0,5906600,33882300,30691000,0,52313100,0,66571500
10/20/2022,64522000,48795100,0,13623100,0,0,17600500,65239800,21811000,0
10/21/2022,86548600,55660500,28988700,7201300,53058700,46348600,15652600,60949400,26299700,75713800
10/24/2022,75981900,0,24680800,5610900,43831600,63563400,0,51745700,24911200,100446800
